Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%), Trade Balance (US$ Thousand) , Export (US$ Thousand) , Import (US$ Thousand) ,AHS Weighted Average (%),No Of Tariff Agreement
India, World,2022,Exports & Imports,4403,4316,100,100," -27,98,81,780 "," 45,26,84,214 "," 73,25,65,993 ",4.47,3
India,East Asia & Pacific,2022,Exports & Imports,4041,4075,91.78,94.42," -17,70,70,011 "," 9,11,74,192 "," 26,82,44,203 ",4.96,4
India,"Middle East, North Africa, Afghanistan & Pakistan",2022,Exports & Imports,4055,3005,92.1,69.62," -12,08,35,040 "," 7,36,27,005 "," 19,44,62,044 ",1.65,1
India,China,2022,Exports & Imports,2560,3683,58.14,85.33," -8,71,64,779 "," 1,50,84,401 "," 10,22,49,180 ",7.88,0
India,Russian Federation,2022,Exports & Imports,2162,865,49.1,20.04," -3,77,01,069 "," 29,27,176 "," 4,06,28,245 ",1.55,0
India,Iraq,2022,Exports & Imports,1615,41,36.68,0.95," -3,66,13,362 "," 24,55,015 "," 3,90,68,377 ",0.13,0
India,Saudi Arabia,2022,Exports & Imports,2956,726,67.14,16.82," -3,60,35,451 "," 1,01,52,976 "," 4,61,88,427 ",1.35,0
India,North America,2022,Exports & Imports,3786,3487,85.99,80.79," 2,88,08,127 "," 8,44,86,832 "," 5,56,78,705 ",5.43,0
India,United States,2022,Exports & Imports,3695,3455,83.92,80.05," 2,84,57,722 "," 8,02,30,193 "," 5,17,72,471 ",5.52,0
India,Europe & Central Asia,2022,Exports & Imports,4012,4063,91.12,94.14," -2,77,95,751 "," 10,08,56,473 "," 12,86,52,224 ",7.56,0
India,South Asia,2022,Exports & Imports,4175,1746,94.82,40.45," 2,60,76,024 "," 3,13,26,315 "," 52,50,291 ",5.4,3
India,United Arab Emirates,2022,Exports & Imports,3777,2651,85.78,61.42," -2,25,28,649 "," 3,13,22,728 "," 5,38,51,377 ",1.86,0
India,Indonesia,2022,Exports & Imports,2419,1502,54.94,34.8," -1,87,98,727 "," 98,66,614 "," 2,86,65,341 ",4.03,0
India,Qatar,2022,Exports & Imports,2774,402,63,9.31," -1,55,61,653 "," 19,89,912 "," 1,75,51,565 ",2.43,0
India,Switzerland,2022,Exports & Imports,1818,2097,41.29,48.59," -1,49,62,604 "," 13,40,107 "," 1,63,02,711 ",11.76,0
India,"Korea, Rep.",2022,Exports & Imports,2341,2373,53.17,54.98," -1,32,25,611 "," 74,97,726 "," 2,07,23,337 ",3.19,0
India,Singapore,2022,Exports & Imports,2790,2593,63.37,60.08," -1,25,87,930 "," 1,18,30,795 "," 2,44,18,725 ",1.6,0
India,Netherlands,2022,Exports & Imports,2554,2636,58.01,61.08," 1,25,78,166 "," 1,85,00,438 "," 59,22,272 ",6.63,0
India,Bangladesh,2022,Exports & Imports,3339,888,75.83,20.57," 1,18,32,148 "," 1,38,33,759 "," 20,01,611 ",4.88,1
India,Kuwait,2022,Exports & Imports,2462,335,55.92,7.76," -1,17,31,969 "," 14,96,478 "," 1,32,28,447 ",1.03,0
India,Australia,2022,Exports & Imports,2979,1499,67.66,34.73," -1,14,15,460 "," 82,07,843 "," 1,96,23,303 ",2.15,0
India,Japan,2022,Exports & Imports,2565,2702,58.26,62.6," -1,00,49,504 "," 56,99,962 "," 1,57,49,466 ",1.69,0
India,"Hong Kong, China",2022,Exports & Imports,1820,2573,41.34,59.62," -96,58,961 "," 97,97,909 "," 1,94,56,869 ",6.91,0
India,Nepal,2022,Exports & Imports,3802,450,86.35,10.43," 76,37,416 "," 85,31,438 "," 8,94,021 ",2.34,0
India,Malaysia,2022,Exports & Imports,2940,2022,66.77,46.85," -63,51,823 "," 71,90,535 "," 1,35,42,358 ",3.86,0
India,Turkey,2022,Exports & Imports,2465,2004,55.98,46.43," 63,15,873 "," 1,00,14,499 "," 36,98,626 ",7.78,0
India,Sri Lanka,2022,Exports & Imports,3145,1070,71.43,24.79," 52,91,576 "," 63,34,280 "," 10,42,703 ",5.88,0
India,Thailand,2022,Exports & Imports,2719,2196,61.75,50.88," -52,11,093 "," 60,39,395 "," 1,12,50,487 ",2.59,0
India,Latin America & Caribbean,2022,Exports & Imports,3180,1675,72.22,38.81," -51,09,899 "," 2,27,48,525 "," 2,78,58,424 ",6.43,1
India,Togo,2022,Exports & Imports,1585,42,36,0.97," 48,56,505 "," 54,03,543 "," 5,47,038 ",0.55,1
India,Israel,2022,Exports & Imports,2174,1078,49.38,24.98," 47,99,391 "," 75,89,089 "," 27,89,698 ",7.77,0
India,Oman,2022,Exports & Imports,2860,447,64.96,10.36," -41,75,567 "," 47,20,633 "," 88,96,200 ",2.6,0
India,France,2022,Exports & Imports,2714,2702,61.64,62.6," 38,04,203 "," 80,48,230 "," 42,44,027 ",9.07,0
India,Sub-Saharan Africa,2022,Exports & Imports,3871,1473,87.92,34.13," -37,18,511 "," 4,05,57,187 "," 4,42,75,698 ",2.88,26
India,Germany,2022,Exports & Imports,3121,3329,70.88,77.13," -34,61,455 "," 1,04,41,963 "," 1,39,03,417 ",10.11,0
India,Nigeria,2022,Exports & Imports,2768,304,62.87,7.04," -34,15,860 "," 53,40,109 "," 87,55,969 ",0.46,0
India,Angola,2022,Exports & Imports,1820,40,41.34,0.93," -31,49,886 "," 6,22,548 "," 37,72,434 ",0.55,0
India,Vietnam,2022,Exports & Imports,2363,1595,53.67,36.96," -31,23,966 "," 58,80,778 "," 90,04,743 ",3.35,0
India,Italy,2022,Exports & Imports,2691,2954,61.12,68.44," 29,79,746 "," 85,08,558 "," 55,28,812 ",10.55,0
India,South Africa,2022,Exports & Imports,2794,930,63.46,21.55," -29,00,684 "," 82,65,804 "," 1,11,66,488 ",6.43,0
India,Argentina,2022,Exports & Imports,1419,294,32.23,6.81," -28,85,705 "," 11,89,195 "," 40,74,901 ",6.59,0
India,Unspecified,2022,Exports & Imports,134,521,3.04,12.07," 28,20,012 "," 28,80,675 "," 60,663 ",16.21,0
India,Kenya,2022,Exports & Imports,2911,197,66.11,4.56," 28,17,452 "," 29,40,261 "," 1,22,809 ",38.8,0
India,Bolivia,2022,Exports & Imports,539,12,12.24,0.28," -27,19,010 "," 80,439 "," 27,99,450 ",12.48,0
India,Brazil,2022,Exports & Imports,2061,1099,46.81,25.46," 26,08,118 "," 97,24,341 "," 71,16,223 ",7.37,0
India,"Congo, Rep.",2022,Exports & Imports,1181,39,26.82,0.9," -22,55,739 "," 1,80,251 "," 24,35,990 ",0.05,0
India,Guinea,2022,Exports & Imports,1467,42,33.32,0.97," -21,78,594 "," 5,94,809 "," 27,73,402 ",0.1,1
India,Spain,2022,Exports & Imports,2445,2298,55.53,53.24," 20,06,077 "," 47,96,203 "," 27,90,126 ",8.09,0
India,Ireland,2022,Exports & Imports,1348,704,30.62,16.31," -18,89,911 "," 6,05,257 "," 24,95,168 ",6.57,0
India,Morocco,2022,Exports & Imports,1566,196,35.57,4.54," -18,48,988 "," 10,58,842 "," 29,07,830 ",5.21,0
United States, World,2022,Exports & Imports,4504,4512,100,100," -1,31,08,12,333 "," 2,06,20,89,833 "," 3,37,29,02,166 ",1.56,24
United States,East Asia & Pacific,2022,Exports & Imports,4307,4307,95.63,95.46," -75,72,17,413 "," 47,83,31,325 "," 1,23,55,48,737 ",2.33,28
United States,China,2022,Exports & Imports,3664,4025,81.35,89.21," -42,18,51,069 "," 15,38,37,022 "," 57,56,88,091 ",2.86,
United States,Europe & Central Asia,2022,Exports & Imports,4273,4373,94.87,96.92," -25,26,89,117 "," 49,13,61,528 "," 74,40,50,644 ",1.91,13
United States,Mexico,2022,Exports & Imports,4298,3505,95.43,77.68," -13,47,99,887 "," 32,43,77,769 "," 45,91,77,656 ",0.09,1
United States,Vietnam,2022,Exports & Imports,2434,2245,54.04,49.76," -12,44,78,428 "," 1,13,98,113 "," 13,58,76,541 ",4.63,
United States,Canada,2022,Exports & Imports,4379,3915,97.22,86.77," -9,17,36,882 "," 35,48,87,051 "," 44,66,23,934 ",0.12,2
United States,North America,2022,Exports & Imports,4390,3915,97.47,86.77," -9,11,70,103 "," 35,54,68,349 "," 44,66,38,452 ",0.12,3
United States,Germany,2022,Exports & Imports,3524,3729,78.24,82.65," -7,78,58,794 "," 7,25,49,705 "," 15,04,08,499 ",1.65,
United States,Japan,2022,Exports & Imports,3591,3471,79.73,76.93," -7,41,40,635 "," 8,03,04,526 "," 15,44,45,162 ",1.58,1
United States,Latin America & Caribbean,2022,Exports & Imports,4448,3950,98.76,87.54," -6,90,04,778 "," 54,77,86,480 "," 61,67,91,258 ",0.27,53
United States,Ireland,2022,Exports & Imports,2181,1500,48.42,33.24," -6,65,50,003 "," 1,59,55,713 "," 8,25,05,716 ",1.83,
United States,South Asia,2022,Exports & Imports,3206,3552,71.18,78.72," -5,57,89,963 "," 5,08,45,621 "," 10,66,35,584 ",4.12,7
United States,"Korea, Rep.",2022,Exports & Imports,3438,3028,76.33,67.11," -4,93,89,768 "," 7,14,69,489 "," 12,08,59,256 ",0.01,1
United States,Thailand,2022,Exports & Imports,2745,2389,60.95,52.95," -4,74,19,528 "," 1,55,92,499 "," 6,30,12,028 ",0.85,1
United States,Italy,2022,Exports & Imports,3171,3551,70.4,78.7," -4,44,64,213 "," 2,74,10,694 "," 7,18,74,907 ",3.05,
United States,India,2022,Exports & Imports,3092,3515,68.65,77.9," -4,36,59,713 "," 4,73,32,140 "," 9,09,91,853 ",2.99,
United States,Malaysia,2022,Exports & Imports,2640,1872,58.61,41.49," -3,87,93,861 "," 1,81,02,782 "," 5,68,96,643 ",0.72,
United States,Netherlands,2022,Exports & Imports,3281,2921,72.85,64.74," 3,72,74,136 "," 7,28,76,622 "," 3,56,02,486 ",1.6,
United States,Indonesia,2022,Exports & Imports,2305,1840,51.18,40.78," -2,72,76,972 "," 99,86,093 "," 3,72,63,065 ",4.11,1
United States,Switzerland,2022,Exports & Imports,2469,2552,54.82,56.56," -2,32,40,841 "," 3,68,95,589 "," 6,01,36,430 ",2.21,
United States,"Hong Kong, China",2022,Exports & Imports,2918,1850,64.79,41," 2,08,81,772 "," 2,58,15,866 "," 49,34,095 ",3.3,
United States,"Middle East, North Africa, Afghanistan & Pakistan",2022,Exports & Imports,3814,2865,84.68,63.5," -1,96,13,333 "," 7,55,81,006 "," 9,51,94,339 ",1.83,19
United States,Singapore,2022,Exports & Imports,3075,1563,68.27,34.64," 1,40,22,455 "," 4,61,63,161 "," 3,21,40,706 ",0,1
United States,Australia,2022,Exports & Imports,3468,2237,77,49.58," 1,36,92,809 "," 3,01,97,631 "," 1,65,04,822 ",0.53,1
United States,Austria,2022,Exports & Imports,1792,2247,39.79,49.8," -1,36,79,316 "," 47,44,182 "," 1,84,23,498 ",1.4,
United States,Sub-Saharan Africa,2022,Exports & Imports,3105,2090,68.94,46.32," -1,35,67,345 "," 1,82,25,370 "," 3,17,92,715 ",0.38,110
United States,United Arab Emirates,2022,Exports & Imports,2956,1148,65.63,25.44," 1,35,37,464 "," 2,08,51,481 "," 73,14,017 ",1.54,
United States,Russian Federation,2022,Exports & Imports,1596,1163,35.44,25.78," -1,33,55,961 "," 17,15,080 "," 1,50,71,041 ",1.01,
United States,Cambodia,2022,Exports & Imports,576,669,12.79,14.83," -1,26,42,270 "," 4,49,191 "," 1,30,91,461 ",9.99,2
United States,Saudi Arabia,2022,Exports & Imports,2646,535,58.75,11.86," -1,25,84,542 "," 1,15,64,778 "," 2,41,49,320 ",1.56,
United States,United Kingdom,2022,Exports & Imports,3732,3555,82.86,78.79," 1,25,15,462 "," 7,72,61,014 "," 6,47,45,551 ",1.32,
United States,Brazil,2022,Exports & Imports,3182,2527,70.65,56.01," 1,22,07,187 "," 5,35,77,707 "," 4,13,70,520 ",1.32,1
United States,France,2022,Exports & Imports,3200,3413,71.05,75.64," -1,21,62,636 "," 4,69,28,790 "," 5,90,91,426 ",1.9,
United States,Panama,2022,Exports & Imports,2783,520,61.79,11.52," 1,14,81,043 "," 1,20,30,212 "," 5,49,169 ",1.46,1
United States,Sweden,2022,Exports & Imports,2091,2152,46.43,47.7," -1,00,24,068 "," 76,67,380 "," 1,76,91,448 ",1.34,
United States,Iraq,2022,Exports & Imports,1208,79,26.82,1.75," -93,93,279 "," 9,49,852 "," 1,03,43,131 ",1.61,1
United States,Bangladesh,2022,Exports & Imports,956,660,21.23,14.63," -90,20,916 "," 28,13,867 "," 1,18,34,783 ",10.7,
United States,Denmark,2022,Exports & Imports,1859,1999,41.27,44.3," -87,24,506 "," 45,00,861 "," 1,32,25,368 ",0.74,
United States,South Africa,2022,Exports & Imports,2411,1499,53.53,33.22," -81,42,037 "," 65,14,872 "," 1,46,56,909 ",0.09,2
United States,Belgium,2022,Exports & Imports,2784,2546,61.81,56.43," 80,49,449 "," 3,55,23,381 "," 2,74,73,931 ",1.58,
United States,Israel,2022,Exports & Imports,2786,1972,61.86,43.71," -76,32,538 "," 1,42,32,760 "," 2,18,65,298 ",0.05,1
United States,Philippines,2022,Exports & Imports,2430,1423,53.95,31.54," -75,85,850 "," 92,90,727 "," 1,68,76,577 ",1.4,1
United States,Dominican Republic,2022,Exports & Imports,3238,1121,71.89,24.84," 67,10,013 "," 1,38,53,340 "," 71,43,327 ",0.46,1
United States,Chile,2022,Exports & Imports,3059,978,67.92,21.68," 65,26,583 "," 2,33,27,985 "," 1,68,01,402 ",0,1
United States,Finland,2022,Exports & Imports,1632,1508,36.23,33.42," -63,44,679 "," 26,50,651 "," 89,95,330 ",1.07,
United States,Slovak Republic,2022,Exports & Imports,914,1138,20.29,25.22," -62,46,775 "," 3,75,796 "," 66,22,571 ",2.36,
United States,Argentina,2022,Exports & Imports,2441,1104,54.2,24.47," 55,58,851 "," 1,28,50,390 "," 72,91,539 ",1.61,1
United States,Turkey,2022,Exports & Imports,2476,2658,54.97,58.91," -54,31,873 "," 1,49,93,006 "," 2,04,24,880 ",3.3,
